"Credentials are filled. But couldn't be verified","Credenciales ingresadas. Pero no pudieron ser verificadas"
"Credentials section is incomplete. Please, fill the section and try again.","Por favor ingrese las credenciales de Powerpay."
"There was a problem retrieving data from Powerpay. Wait for status confirmation from Powerpay.","Hubo un problema al traer la respuesta, por favor aguarde una confirmación de Powerpay."
"Invalid Token.","Token inválido"
"Unexpected response from Powerpay","Respuesta inesperada de Powerpay"
"The payment was cancelled by Powerpay.","El pago fue cancelado por Powerpay."
"The payment date has expired.","La fecha de pago expiró."
"Order canceled after ' . . ' hours pending.","Orden cancelada luego de ' . . ' horas sin cambios."
"Order canceled due to expiration time.","Orden cancelada por pago expirado."
"Authentication failed","Fallo la autenticación"
"Order could not be invoiced.","La factura no pudo ser generada."
"Invalid request data.","Información inválida."
"Order ' . . ' by Powerpay.","Orden ' . . ' por Powerpay."
Powerpay,Powerpay
"Payment confirmed by Powerpay","Pago confirmado por Powerpay"
"Could not save the transaction: %1","No se pudo generar la transacción: %1"
"Transaction with id ""%1"" does not exist.","La transacción con id ""%1"" no existe."
"Could not delete the Transaction: %1","No se pudo borrar la transacción: %1"
"Place Order","Comprar"
"Credentials status","Estado de credenciales"
Enabled,Activado
Title,Título
Debug,Debug
"Sandbox Mode","Modo Sandbox"
"Client Id","Client Id"
Secret,Secret
"Merchant ID","Merchant ID"
Concept,Concepto
"Sort Order","Posición"
"Cancel order after X hours","Cancelar orden luego de X horas"
Widgets,Widgets
"PDP widget","Página de producto"
"Store header","Encabezado"
"Store banner","Pie de página"
"Checkout widget","Checkout"
"'Quantity: ' .","'Cantidad: ' ."
"Payment confirmed by Powerpay","Pago confirmado por Powerpay"
"Transaction rejected.","Transacción rechazada."
"There was an error processing your payment. Don't worry, no charge was made to your card.","Encontramos un error al procesar tu pago. No te preocupes, no te cobramos ningún monto de tu tarjeta."
"Payment confirmed by PowerPay","Pago confirmado por Powerpay"
"Custom success page","Página de éxito Powerpay"
"Enable custom success page with order review","Activar la página de creación de orden con éxito de Powerpay, con resumen de compra"
